name,brand,retail_price_inr,rent_price_inr,currency,category,collection,fabric,description,status,variant_size,variant_colour,variant_quantity,variant_location,image_urls
Arlett Dress Saxe,Baobab,27000,,INR,Dress,,"80% Nylon, 20% Elastane. Lycra, figure-hugging fabric.","Crafted to elevate your resort wear collection, this dress combines a high-neck maxi design with alluring ruched details and waist cut-outs, embodying the essence of high-end fashion. Constructed from figure-hugging Lycra fabric, this dress enhances your beachside style with sophistication and allure.",draft,S,Light Blue,1,,
Magalenha Maxi Sea Dress,Baobab,26800,,INR,Dress,,"80% Nylon, 20% Elastane. Lycra, figure-hugging fabric.","Introducing the ""Magalenha Maxi Dress"" to elevate each beach wardrobe collection, this strapless maxi dress with ruched details, features a beautiful hardware shape detail to accentuate your neckline. From a stylish beach cover-up to a captivating outfit, this ruched maxi dress embodies high-end resort wear while combining glamour and conscious fashion.",draft,M,Blue,1,,
Kira Glossy Porcelain Dress,Baobab,27000,,INR,Dress,,"80% Nylon, 20% Elastane. Lycra, figure-hugging fabric.","An exquisite expression of elegance. Made from a lycra figure holding glossy fabric, this dress exudes timeless style. With its glossy fabric, flattering silhouette, adjustable back straps, and our ""Baobab Shape"" detail it's perfect for both casual beach walks and glamorous soirées. Experience the fusion of high-end fashion and sustainability with this captivating piece.",draft,M,Blue,1,,
Vittoria Liberty Dress,Baobab,27000,,INR,Dress,,"80% Nylon, 20% Elastane. Lycra, figure-hugging fabric.","A true embodiment of elegant beauty. This ruched maxi dress radiates timeless style. Its figure holding shiny fabric, flattering silhouette, and charming cut-out details seamlessly combine casual beach walks with glamorous soirées. Immerse yourself in the enchanting fusion of high-end fashion and sustainability with this captivating masterpiece.",draft,S,Sea green,1,,
Lia Perla Dress,Baobab,27000,,INR,Dress,,"80% Nylon, 20% Elastane. Lycra, figure-hugging fabric.","A true testament to elegant beauty. Carefully crafted with meticulous attention to detail, this one-shoulder dress with cutouts embodies timeless style. Its glossy fabric, flattering silhouette, and adjustable straps effortlessly blend casual beach walks with glamorous soirées.",draft,S,White,1,,
Sierra Dress,Baobab,21000,,INR,Jacket,,"80% Nylon, 20% Elastane. Lycra, figure-hugging fabric.","A perfect deep-v mini dress with side knot detail, crafted with high-end and sustainable materials, that effortlessly combines style and sustainability. Its figure-hugging stretchy fabric, lively silhouette, and loud neckline that ties at the back make it the perfect statement piece. Elevate your beach attire with this glossy piece, designed to elevate your beach-to-bar looks.",draft,S,Green,1,,
Cleo Pareo Sarong,Baobab,14300,,INR,Sarong,,"80% Nylon, 20% Elastane. Lycra, figure-hugging fabric.","A beach cover-up that captivates and belongs in your resort wear collection. Handcrafted with care using sustainable materials, this sarong-style mesh pareo with a charming knot detail gracefully enhances any bikini or a one-piece swimsuit. Elevate your beach experience with this eco-friendly and high-end piece, where style meets sustainability in perfect harmony.",draft,S,Multicolour,1,,
Mar Glory Dress,Baobab,24650,,INR,Dress,,"100% Polyester. Satin-like rigid fabric with a silky-smooth texture, not stretchy.","A beach cover-up that captivates and belongs in your resort wear collection. Made in a satin-like fabric, this sarong-style mini pareo with a charming knot detail gracefully enhances any bikini or one-piece. Elevate your beach experience with this eco-conscious and high-end mini skirt, where style meets sustainability in perfect harmony.",draft,M,Multicolour,1,,
Marea Mini Green Dress,Baobab,20600,,INR,Dress,,"100% Polyester. Satin-like rigid fabric with a silky-smooth texture, not stretchy.","With its ethereal silhouette, satin-like fabric, and ombre print, this one-shoulder maxi dress makes the perfect day-to-night look. Crafted sustainably, this high-end piece harmonizes style and comfort with its lightweight fabric, open back, and inner slip dress. Let our best seller, ""Marea Dress,"" elevate your summer evenings.",draft,S,Green,1,,
Magalenha Top,Baobab,8500,,INR,Tops,,"80% Nylon, 20% Elastane. Lycra, figure-hugging fabric.","This strapless top features ruched detailing and a U-shaped bust, creating a flattering and stylish silhouette.",draft,M,Blue,1,,
Amaral Perse Dress,Baobab,27000,,INR,Dress,,"80% Nylon, 20% Elastane. Lycra, figure-hugging fabric.","Designed to enhance your resort-wear collection, this cut-out glossy dress elevates your beach-to-bar looks. Made from a lycra figure holding glossy fabric, this balconette cut-out maxi dress embodies the essence of high-end resort wear.",draft,S,Lavendar,1,,
Luana Dress Ultramarine,Baobab,27000,,INR,Dress,,"80% Nylon, 20% Elastane. Lycra, figure-hugging fabric.","A true embodiment of elegant beauty. Crafted with meticulous attention to detail, this one-shoulder maxi dress radiates timeless style. Its lightweight fabric, flattering silhouette, and twisted top with two-toned detail on the back seamlessly combine casual beach walks with glamorous soirées. Immerse yourself in the enchanting fusion of high-end fashion and sustainability with this captivating masterpiece.",draft,S,Blue,1,,
Aluna Glossy Dress,Baobab,27000,,INR,Dress,,"80% Nylon, 20% Elastane. Lycra, figure-hugging fabric.","With its ethereal silhouette and glossy fabric, this one-shoulder maxi dress makes the perfect day-to-night look. Crafted sustainably, this high-end piece harmonizes style and comfort with its lightweight fabric, open back, and inner slip dress.",draft,S,Blue,1,,
Marte Stone Dress,Baobab,23700,,INR,Dress,,"80% Nylon, 20% Elastane. Lycra, figure-hugging fabric.","A mesh maxi dress with a front cut out. Fabricated with a figure-hugging stretchy glossy material, this long-sleeve dress features a bright color bandeau top to achieve an eclectic look. Enhance your beach wardrobe with this statement piece, designed to effortlessly elevate your beach-to-bar looks.",draft,S,Grey,1,,
Ada Limonchelo Dress,Baobab,28350,,INR,Dress,,"80% Nylon, 20% Elastane. Lycra, figure-hugging fabric.","Crafted to elevate your resort wear collection, this dress combines a high-neck maxi design with alluring ruched details and waist cut-outs, embodying the essence of high-end fashion. Constructed from figure-hugging Lycra fabric, this dress enhances your beachside style with sophistication and allure.",draft,M,Green,1,,
